game,date,opponent,loc,win_loss,final_margin,shot_no,period,game_clock,shot_clock,dribbles,touch_time,shot_dist,pts_type,shot_result,defender,defender_dist
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,1,1,10:59,14,0,0.9,26.3,3,made,"Young, Nick",4.3
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,2,1,10:24,18.8,1,1.4,14.8,2,missed,"Meeks, Jodie",3.3
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,3,1,9:27,14.3,0,0.8,0,2,made,"Blake, Steve",3.4
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,4,1,8:26,16.4,0,0.9,22.8,3,made,"Blake, Steve",15.2
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,5,1,5:02,13.4,1,1.1,17.9,2,made,"Meeks, Jodie",2.4
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,6,1,4:08,20.4,3,3.3,25.1,3,made,"Meeks, Jodie",9.6
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,7,1,1:47,17,0,1,27.8,3,made,"Farmar, Jordan",6.8
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,8,2,7:07,13.9,0,0.8,21.2,2,made,"Henry, Xavier",4.6
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,9,2,5:57,10.5,0,0.8,22.6,3,missed,"Blake, Steve",4.4
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,10,2,2:31,5.6,2,3.2,10.1,2,made,"Blake, Steve",1.1
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,11,2,2:06,20,0,0.7,24.4,3,made,"Henry, Xavier",5.3
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,12,2,0:16,,1,0.7,3.4,2,made,"Young, Nick",3.3
"OCT 30, 2013 - GSW vs. LAL",10/30/2013,LAL,H,W,31,13,3,10:46,13.2,0,0.7,1.7,2,made,"Meeks, Jodie",2.5
